FID,LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape__Area,Shape__Length
2599,E01002734,Islington 005B,Islington,50.5800115879,50.4297926729,42.0805277978,61.6356057764,6b,2485.95310418,117854.925048828,2485.95310418111
2600,E01002735,Islington 003A,Islington,43.980769381,42.4647917004,32.9125697656,63.7578371695,6b,2028.69885414,108497.420761108,2028.69885414063
2601,E01002736,Islington 005C,Islington,34.7694144667,34.754794822,28.0569975989,38.698587311,6a,1436.13125852,73087.5418777466,1436.13125851964
2602,E01002737,Islington 005D,Islington,25.7019463083,28.2705111837,11.1126129893,35.2315676646,6a,1934.63501956,76768.578704834,1934.63501956072
2603,E01002738,Islington 009A,Islington,18.0280354709,19.4096156658,8.01786529517,27.233020705,4,2981.06087045,255126.047798157,2981.06087045239
2604,E01002739,Islington 013A,Islington,25.6926317812,26.97138684,15.9777007185,30.7659727856,6a,2349.12051261,117361.868782043,2349.12051261476
2605,E01002740,Islington 013B,Islington,29.3705847002,28.8336637547,21.5208345248,40.9592565151,6a,2816.85447479,222058.730621338,2816.85447478694
2606,E01002741,Islington 009B,Islington,11.996476518,10.1954339754,9.44538611068,19.6016913927,3,1616.67402391,106432.954421997,1616.67402390959
2607,E01002742,Islington 006A,Islington,23.1808375844,21.7243832553,18.893355689,30.2135295017,5,2185.10336359,106782.176612854,2185.10336359447
2608,E01002743,Islington 009C,Islington,12.0453994623,10.7585375836,6.37757654474,19.2276002669,3,2159.30893189,97162.9383087158,2159.30893189424
2609,E01002744,Islington 009D,Islington,14.9847820537,14.4878523038,9.05165969485,20.0271037304,3,1930.78037585,98959.8765640259,1930.78037585017
2610,E01002745,Islington 013C,Islington,17.5669589313,17.63286591,15.205982708,19.4039539446,4,1979.0591308,106686.727272034,1979.05913080091
2611,E01002747,Islington 006B,Islington,35.2723665295,34.3337907534,28.6258930451,43.9485202918,6a,1906.41642254,102741.338111877,1906.41642254228
2612,E01002748,Islington 006C,Islington,38.9470637862,39.0119033747,22.053753584,63.4657004462,6a,2307.30576219,141247.497901917,2307.30576218513
2613,E01002749,Islington 006D,Islington,23.304638994,24.8874770444,15.3111906245,28.6667826249,5,1355.840463,83273.0257568359,1355.8404629952
2614,E01002751,Islington 005E,Islington,35.814830538,37.2395306571,31.6249391782,40.2299895565,6a,1511.18231754,77187.2885437012,1511.18231754265
2615,E01002752,Islington 009E,Islington,17.9873636374,17.2781844168,15.8297726181,20.4980718818,4,1853.22261916,90166.0902557373,1853.22261915748
2616,E01002753,Islington 002A,Islington,20.7973262821,18.1296496349,17.0957704471,28.2168921976,5,1403.14311562,81177.6686325073,1403.14311561822
2617,E01002754,Islington 002B,Islington,24.0769211131,23.9814059599,14.9166979521,35.8421716012,5,2318.86322854,122987.54511261,2318.86322854087
2618,E01002755,Islington 001A,Islington,10.8872716419,10.8438406709,8.95735277051,12.3201032206,3,1811.85906166,98064.9024200439,1811.85906165718
2619,E01002756,Islington 001B,Islington,12.7306710774,12.3452418421,11.6595286657,15.0793895727,3,1979.67948055,115313.66947937,1979.67948055222
2620,E01002757,Islington 002C,Islington,9.53470376134,7.47073200252,6.67958040094,15.8023010925,2,1808.80739042,90941.3521881104,1808.80739042074
2621,E01002758,Islington 001C,Islington,13.2213878421,12.4621351579,8.16962682263,16.4484864121,3,2781.86490649,119386.639877319,2781.86490648604
2622,E01002759,Islington 002D,Islington,21.3885909156,22.0393651644,14.250951123,31.283357169,5,1910.69266571,106324.40713501,1910.69266570918
2623,E01002760,Islington 002E,Islington,18.2221931904,16.0629208766,10.4785772446,29.9643545861,4,1867.31565498,90663.9665527344,1867.31565497612
2624,E01002762,Islington 011C,Islington,25.8711445698,24.3322248941,20.2989684557,34.2157937314,6a,2720.8718689,160022.196525574,2720.87186890378
2625,E01002763,Islington 007D,Islington,28.1191659019,28.3016854885,21.0915448666,33.757610034,6a,1796.60700958,98726.0090637207,1796.60700957623
2626,E01002764,Islington 010A,Islington,21.9646095568,22.4976968672,13.5032103753,28.0377877012,5,2183.01010191,132625.54309082,2183.01010191082
2627,E01002765,Islington 015D,Islington,25.0973166153,24.2295979364,17.622669288,31.1707830433,6a,2378.44369271,170865.123687744,2378.44369270878
2628,E01002766,Islington 015E,Islington,18.5109329868,18.4555262334,10.4629512607,22.4673782622,4,1997.15842475,136714.042114258,1997.15842475026
2629,E01002767,Islington 011D,Islington,28.4271462805,29.9088655894,15.5208568519,34.8459559748,6a,1679.54432269,118834.247581482,1679.54432269338
2630,E01002768,Islington 004A,Islington,18.5018549474,17.5413120601,14.2985737363,22.8065553728,4,1604.59563225,103797.966499329,1604.59563225104
2631,E01002769,Islington 008A,Islington,14.1900104786,13.5823327584,6.03010559446,28.7372121935,3,2604.71113215,215170.919090271,2604.71113214793
2632,E01002770,Islington 004B,Islington,30.629377803,30.6127290782,16.7334313782,42.1684163422,6a,2749.98187208,210201.967834473,2749.98187208229
2633,E01002771,Islington 004C,Islington,21.2322070925,21.096403798,12.964031811,28.7360878695,5,2020.6686125,119766.11000061,2020.66861250099
2634,E01002772,Islington 002F,Islington,31.455722448,30.9700315872,26.5646872208,38.7166391164,6a,1678.00644727,103815.200241089,1678.00644726731
